# Multilingual Google Product Taxonomy
# Generated from monolingual files with wikidata mappings
# Format: ID | hierarchy_depth | wikidata_uri | language_code:category_name | ...

1 | 1 | http://www.wikidata.org/entity/Q116957923 | cs-CZ:Chovatelství | da-DK:Dyr og tilbehør til kæledyr | de-CH:Tiere & Tierbedarf | de-DE:Tiere & Tierbedarf | en-AU:Animals & Pet Supplies | en-GB:Animals & Pet Supplies | en-US:Animals & Pet Supplies | es-ES:Productos para mascotas y animales | fr-CH:Animaux et articles pour animaux de compagnie | fr-FR:Animaux et articles pour animaux de compagnie | it-IT:Articoli per animali | ja-JP:ペット・ペット用品 | nl-NL:Dieren | no-NO:Dyr og kjæledyrutstyr | pl-PL:Zwierzęta i artykuły dla zwierząt | pt-BR:Animais e suprimentos para animais de estimação | ru-RU:Животные и товары для питомцев | sv-SE:Djur och tillbehör till husdjur | tr-TR:Hayvanlar ve Evcil Hayvan Ürünleri
8 | 1 | http://www.wikidata.org/entity/Q117207300 | cs-CZ:Umění a zábava | da-DK:Kunst og underholdning | de-CH:Kunst & Unterhaltung | de-DE:Kunst & Unterhaltung | en-AU:Arts & Entertainment | en-GB:Arts & Entertainment | en-US:Arts & Entertainment | es-ES:Arte y ocio | fr-CH:Arts et loisirs | fr-FR:Arts et loisirs | it-IT:Arte e svago | ja-JP:芸術・エンターテイメント | nl-NL:Kunst en entertainment | no-NO:Kunst og underholdning | pl-PL:Sztuka i rozrywka | pt-BR:Artes e entretenimento | ru-RU:Искусство и развлечения | sv-SE:Konst och underhållning | tr-TR:Sanat ve Eğlence
111 | 1 | http://www.wikidata.org/entity/Q116961454 | cs-CZ:Obchod a průmysl | da-DK:Erhverv og industri | de-CH:Wirtschaft & Industrie | de-DE:Wirtschaft & Industrie | en-AU:Business & Industrial | en-GB:Business & Industrial | en-US:Business & Industrial | es-ES:Economía e industria | fr-CH:Entreprise et industrie | fr-FR:Entreprise et industrie | it-IT:Commercio e industria | ja-JP:ビジネス・産業 | nl-NL:Zakelijk en industrieel | no-NO:Næringsliv og industri | pl-PL:Biznes i przemysł | pt-BR:Comercial e industrial | ru-RU:Бизнес и промышленность | sv-SE:Företag och industri | tr-TR:İş ve Endüstri
141 | 1 | http://www.wikidata.org/entity/Q115797427 | cs-CZ:Foto, video a optika | da-DK:Kameraer og optik | de-CH:Kameras & Optik | de-DE:Kameras & Optik | en-AU:Cameras & Optics | en-GB:Cameras & Optics | en-US:Cameras & Optics | es-ES:Cámaras y ópticas | fr-CH:Appareils photo, caméras et instruments d'optique | fr-FR:Appareils photo, caméras et instruments d'optique | it-IT:Fotocamere/dispositivi ottici | ja-JP:カメラ・光学機器 | nl-NL:Camera's en optiek | no-NO:Kameraer og optikk | pl-PL:Aparaty, kamery i przyrządy optyczne | pt-BR:Câmeras e óptica | ru-RU:Камеры и оптика | sv-SE:Kameror och optik | tr-TR:Kameralar ve Optik Malzemeler
166 | 1 | http://www.wikidata.org/entity/Q115797493 | cs-CZ:Oblečení a doplňky | da-DK:Tøj og tilbehør | de-CH:Bekleidung & Accessoires | de-DE:Bekleidung & Accessoires | en-AU:Clothing & Accessories | en-GB:Clothing & Accessories | en-US:Apparel & Accessories | es-ES:Ropa y accesorios | fr-CH:Vêtements et accessoires | fr-FR:Vêtements et accessoires | it-IT:Abbigliamento e accessori | ja-JP:ファッション・アクセサリー | nl-NL:Kleding en accessoires | no-NO:Klær og tilbehør | pl-PL:Ubrania i akcesoria | pt-BR:Vestuário e acessórios | ru-RU:Предметы одежды и принадлежности | sv-SE:Kläder och accessoarer | tr-TR:Kıyafet ve Aksesuarlar
222 | 1 | http://www.wikidata.org/entity/Q581105 | cs-CZ:Elektronika | da-DK:Elektronik | de-CH:Elektronik | de-DE:Elektronik | en-AU:Electronics | en-GB:Electronics | en-US:Electronics | es-ES:Electrónica | fr-CH:Appareils électroniques | fr-FR:Appareils électroniques | it-IT:Dispositivi elettronici | ja-JP:電気製品 | nl-NL:Elektronica | no-NO:Elektronikk | pl-PL:Elektronika | pt-BR:Eletrônicos | ru-RU:Электроника | sv-SE:Elektronik | tr-TR:Elektronik
412 | 1 | http://www.wikidata.org/entity/Q115617808 | cs-CZ:Jídlo, pití a tabák | da-DK:Fødevarer, drikkevarer og tobak | de-CH:Nahrungsmittel, Getränke & Tabak | de-DE:Nahrungsmittel, Getränke & Tabak | en-AU:Food, Beverages & Tobacco | en-GB:Food, Beverages & Tobacco | en-US:Food, Beverages & Tobacco | es-ES:Alimentación, bebida y tabaco | fr-CH:Alimentation, boissons et tabac | fr-FR:Alimentation, boissons et tabac | it-IT:Cibo, bevande e tabacco | ja-JP:食品・飲料 | nl-NL:Eten, drinken en tabak | no-NO:Mat, drikke og tobakk | pl-PL:Żywność, napoje i tytoń | pt-BR:Alimentos, bebidas e tabaco | ru-RU:Продукты, напитки и табачные изделия | sv-SE:Mat, dryck och tobak | tr-TR:Yiyecek, İçecekler ve Tütün Mamülleri
436 | 1 | http://www.wikidata.org/entity/Q14745 | cs-CZ:Nábytek | da-DK:Møbler | de-CH:Möbel | de-DE:Möbel | en-AU:Furniture | en-GB:Furniture | en-US:Furniture | es-ES:Mobiliario | fr-CH:Meubles | fr-FR:Meubles | it-IT:Arredamento | ja-JP:家具 | nl-NL:Meubelen | no-NO:Møbler | pl-PL:Meble | pt-BR:Móveis | ru-RU:Мебель | sv-SE:Möbler | tr-TR:Mobilyalar
469 | 1 | http://www.wikidata.org/entity/Q115922057 | cs-CZ:Zdraví a krása | da-DK:Sundhed og skønhed | de-CH:Gesundheit & Schönheit | de-DE:Gesundheit & Schönheit | en-AU:Health & Beauty | en-GB:Health & Beauty | en-US:Health & Beauty | es-ES:Salud y belleza | fr-CH:Santé et beauté | fr-FR:Santé et beauté | it-IT:Salute e bellezza | ja-JP:美容・健康 | nl-NL:Gezondheid en persoonlijke verzorging | no-NO:Helse og skjønnhet | pl-PL:Zdrowie i uroda | pt-BR:Saúde e beleza | ru-RU:Красота и здоровье | sv-SE:Skönhet och hälsa | tr-TR:Sağlık ve Güzellik
536 | 1 | http://www.wikidata.org/entity/Q117207560 | cs-CZ:Dům a zahrada | da-DK:Hjem og have | de-CH:Heim & Garten | de-DE:Heim & Garten | en-AU:Home & Garden | en-GB:Home & Garden | en-US:Home & Garden | es-ES:Casa y jardín | fr-CH:Maison et jardin | fr-FR:Maison et jardin | it-IT:Casa e giardino | ja-JP:ホーム・ガーデン | nl-NL:Huis en tuin | no-NO:Hjem og hage | pl-PL:Dom i ogród | pt-BR:Casa e jardim | ru-RU:Дом и сад | sv-SE:Hem och trädgård | tr-TR:Ev ve Bahçe
537 | 1 | http://www.wikidata.org/entity/Q115921244 | cs-CZ:Děti a kojenci | da-DK:Baby og småbørn | de-CH:Baby & Kleinkind | de-DE:Baby & Kleinkind | en-AU:Baby & Toddler | en-GB:Baby & Toddler | en-US:Baby & Toddler | es-ES:Bebés y niños pequeños | fr-CH:Bébés et tout-petits | fr-FR:Bébés et tout-petits | it-IT:Bebè e bimbi | ja-JP:ベビー用品 | nl-NL:Baby en peuter | no-NO:Baby og småbarn | pl-PL:Dzieci i niemowlęta | pt-BR:Infantil | ru-RU:Товары для новорожденных и маленьких детей | sv-SE:Bebis och småbarn | tr-TR:Bebek ve Küçük Çocuk Ürünleri
